date,district,rainfall,wind_speed,temperature,humidity,soil_moisture,region,pop_density,slope,coastal,vulnerability_index,river_level,disaster_type,hazard_score,risk_level
20250625,Gondia,20.65,6.1,27.12,83.6,0.78,Vidarbha,253,5,0,0.7,-1.01,Normal,0.0936,Low
20250603,Gondia,0.05,12.4,31.09,53.65,0.55,Vidarbha,253,5,0,0.7,-1.67,Normal,0.0664,Low
20250718,Thane,2.04,9.6,26.79,88.48,0.95,Konkan,1157,5,1,0.75,-1.18,Normal,0.083,Low
20250321,Nanded,3.34,6.7,31.52,32.74,0.21,Marathwada,319,3,0,0.72,-1.27,Normal,0.0532,Low
20250608,Palghar,0.67,13.3,29.52,79.96,0.66,Konkan,362,8,1,0.7,-1.45,Normal,0.0706,Low
20250627,Sindhudurg,16.85,18.9,26.59,90.14,0.97,Konkan,167,20,1,0.75,-1.23,Normal,0.0986,Low
20250521,Gondia,13.63,5.9,33.51,50.14,0.56,Vidarbha,253,5,0,0.7,-1.17,Normal,0.0835,Low
20250314,Satara,0.0,5.9,29.77,40.27,0.13,Pune Division,287,15,0,0.7,-1.46,Normal,0.0437,Low
20250807,Beed,3.45,6.1,26.79,78.09,0.67,Marathwada,242,2,0,0.8,-1.12,Normal,0.0704,Low
20250925,Gadchiroli,38.0,8.3,25.17,95.15,0.98,Vidarbha,74,8,0,0.85,-0.99,Normal,0.1185,Low
20251025,Aurangabad,6.28,7.9,23.76,85.94,0.78,Marathwada,366,3,0,0.72,-1.29,Normal,0.075,Low
20250819,Parbhani,12.49,12.2,24.68,89.09,0.9,Marathwada,295,2,0,0.7,-1.15,Normal,0.0883,Low
20250828,Amravati,13.25,8.4,26.58,89.55,0.91,Vidarbha,237,4,0,0.68,-1.15,Normal,0.092,Low
20250524,Nanded,13.03,13.5,27.59,79.25,0.75,Marathwada,319,3,0,0.72,-1.13,Normal,0.085,Low
20250713,Chandrapur,0.03,10.3,27.82,81.6,0.87,Vidarbha,193,3,0,0.75,-1.7,Normal,0.0783,Low
20250828,Jalgaon,7.26,9.2,27.1,84.36,0.78,Nashik Division,360,3,0,0.65,-1.21,Normal,0.0801,Low
